,,Anul I Seria A,,,,,,Anul I Seria B,,,,,,,,,,Anul I Seria C,,,,,,,,,,Anul I Seria D,,,,,,,Anul I Seria E,,,,,,Anul I Seria F,,,,,,,,,,,,Anul I Seria G,,,,,,,curs,curs,curs,sem,,,,,,,,
,,411A,412A,413A,414A,sala,,411Ba,411Bb,412Ba,412Bb,413Ba,413Bb,414Ba,414Bb,sala,,411Ca,411Cb,412Ca,412Cb,413Ca,413Cb,414Ca,414Cb,sala,,411D,412D,413D,414D,415D,sala,,411E,412E,413E,414E,sala,,411Fa,411Fb,412Fa,412Fb,413Fa,413Fb,414Fa,414Fb,415Fa,415Fb,sala,,411G,412G,413Ga,413Gb,414Ga,414Gb,sala,B306,B219a,B212,,METc (l),Fiz2 (l),SDA (l),,,,,
LUNI,08-09,,,,,,08-09,,,,,,,,,,08-09,,,,,,,,,,08-09,,,,,,,08-09,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,0,0,0,,,,,,,,,
,09-10,-- / Fiz (l),,-- / METc (l),,,09-10,"MS (curs) / Fizică2 (curs)
prof. C. Georgescu / prof M. Stafe",,,,,,,,B212,09-10," BE2 (curs)
 prof. V. Ioniță",,,,,,,,B223a,09-10,,,,,,,09-10,,,,,,09-10,"AM2 (curs)
prof. A. Toma",,,,,,,,,,B206a,09-10,,,,,,,,0,0,1,0,1,0,0,8,,,,
,10-11,,,,,,10-11,,,,,,,,,,10-11,,,,,,,,,,10-11,,,,,,,10-11,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,0,0,0,,,,,,,,,
,11-12,"Opt1 (c) GI, SB, IRPSE /
/ SDA (l)","Opt1 (c) GI, SB, IRPSE /
/ Fiz (l)","Opt 1 (c) /
 /  METc (l)","Opt 1 (c) /
 / --",,11-12,"SDA (curs)
prof O. Grigore",,,,,,,,B212,11-12,"SDA (curs)
prof. C. Bira",,,,,,,,B223a,11-12,"Opt 1 (c) : GI (A03), SB (A102), IRPSE (B306) /
 /  --",,,,,,11-12,"Opt 1 (c) : GI (A03), SB (A102), IRPSE (B306) /
 /  --",,,,,11-12,"BE2 (curs)
prof.I. Nemoianu",,,,,,,,,,B206a,11-12,"AM2 (curs)
prof. A. Toma",,,,,,B219a,0,1,1,0,2,0,0.5,16,,,,
,12-13,,,"Opt 1 (c)
 /. --","Opt 1 (c) /
 /  METc (l)",,12-13,,,,,,,,,,12-13,,,,,,,,,,12-13,,,,,,,12-13,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,0,0,0,,,,,,,,,
,13-14,"Opt 1 (c) MD3D (B212)
 /  BE2 (s) B10","Opt 1 (c) MD3D /
 / SDA (l)","Opt 1 (c) MD3D /
/ Fiz (l)","Opt 1 (c) MD3D /
 /  METc (l)",,13-14,"Opt 1 (c) : GI (A03), SB (A102), IRPSE (B306) MD3D (B212) / BE2 (c - B212)
 /  prof G. Paltanea",,,,,,,,,13-14,"Opt 1 (c)
 /  BE2 (s) B09",,"Opt 1 (c) : GI (A03), SB (A102), IRPSE (B306), MD3D (B212)
 /  --",,,,,,,13-14,"Opt 1 (c) MD3D (B212) /
 /  --",,,,,,13-14,"Opt 1 (c) MD3D (B212) /
 /  --",,,,,13-14,"Opt 1 (c) : GI (A03), SB (A102), IRPSE (B306), MD3D (B212) / 
 /  --",,,,,,,,,,,13-14,"MS (curs)
prof. I. Meghea",,,,,,B219a,0,1,0,1,1,0,0.5,24,,,,
,14-15,,,,,,14-15,,,,,,,,,,14-15,,,,,,,,,,14-15,,,,,,,14-15,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,0,0,0,,,,,,,,,
,15-16,METc (l) / --,-- / METc (l),"BE2 (s) B09 /
 / SDA (l)",-- / Fiz (l),,15-16,,,,,,,,,,15-16,,,"--  / BE2 (s) B09
",,,,,,,15-16,"AM2 (curs)
prof. C. Bercia",,,,,B306,15-16,"MS (curs)
prof O. Sandru",,,,B212,15-16,,,,,,,,,,,,15-16,"Optional Subject O2 (c) 
European Integration (B219a)
prof. O Caraiani",,,,,,,1,0,1,1,2,0,0.5,22,,,,
