 ,,Anul I Seria A,,,,,,Anul I Seria B,,,,,,,,,,,,Anul I Seria C,,,,,Anul I Seria D,,,,,,Anul I Seria E,,,,,Anul I Seria F,,,,,,,,,,,Anul I Seria G,,,,,curs,curs,curs,sem,,,,,,,,,,,
,,411A,412A,413A,414A,sala,411Ba,411Bb,412Ba,412Bb,413Ba,413Bb,414Ba,414Bb,413Ba,413Bb,414Ba,414Bb,sala,411C,412C,413C,414C,sala,411D,412D,413D,414D,415D,sala,411E,412E,413E,414E,sala,411Fa,411Fb,412Fa,412Fb,413Fa,413Fb,414Fa,414Fb,415Fa,415Fb,sala,411Ga,411Gb,412Ga,412Gb,sala,B306,B219a,B212,,PC(l),Fiz(l),Chim(l),,B09,B10,B11,B12,,,
,08-Sep,,,,,,,,,,,,,,,,,,,,,,,,Fiz(l) / Chim(l),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,
LUNI,09-Oct,"Fizica1 (curs)
prof. A Lupascu",,,,B212,"AM1(s) / AG(s) 
B09",,"LS1(s)
B206b",,"AG(s) / AM1(s)
B04",,"BE1(s)
B12",,,,,,,,,,,,,,,,,,"BE1(s)
B11","AM1(s) / --
B10",PC(l),"-- / Fiz(s)
B10",,,,,,,,,,,,," Analiză Matematică I- AM1 (curs) 
prof. A. Toma",,,,B306,1,0,1,0,1,,,16,1,2,1,1,,,
,10-Nov,,,,,B212,,,,,,,,,,,,,,,,,,,,,Fiz(l) / Chim(l),Chim(l) / Fiz(l),,,,,,,,,,,,,,,,,,,,,,,B306,1,0,1,,,1,1,,,,,,,,
,11-Dec,"AG (curs) / Bazele Electrotehnicii 1 BE1 (curs)
prof. A. Niță / prof. Constantinescu",,,,B212,"LS1(s)
B206b",,"AG(s) / AM1(s)
B13",,"BE1(s)
B09",,"AM1(s) / AG(s) 
B12",,,,,,," Bazele electrotehnicii I - BE1 (curs) / Algebră și Geometrie - AG (curs)
prof. V. Ioniță / prof. O.Șandru ",,,,B219a,,,,,,,"AM1(s) / Fiz(s)
B11","BE1(s)
B10",Sport(s),PC(l) sala 2 de calc.,,,,,,PC(l),,PC(l),,"Sport(s)
",,,"Fizica1 (curs) 
prof. G. Suliman",,,,B306,1,1,1,0,3,,,22,1,1,1,1,,,
,Dec-13,,,,,B212,,,,,,,,,,,,,,,,,,B219a,,Fiz(l) / Chim(l),,,Chim(l) / Fiz(l),,,,,,,,,,,,,,,,,,,,,,B306,1,1,1,,,1,1,,,,,,,,
,13-14,,,Sport(s),,,,,,,"LS1(s)
B12",,PC(l) sala A415,PC(l),,,,,,"Fizica1 (curs)
prof. G. Stanciu",,,,B219a,"LS1(s)
B122",,PC(l),,,,"LS1(s)
B11",PC(l) sala 2 de calc,"-- / Fiz(s)
B09",Sport(s),,"-- / Algebră și Geometrie - AG (curs)
-- / prof. O. Sandru",,,,,,,,,,B312,"Algebră și Geometrie - AG (curs) 
prof. I. Meghea",,,,B306,1,1,0,0,4,,,21,1,0,1,2,,,
,14-15,Fiz(l) / Chim(l),Chim(l) / Fiz(l),,,,,,,,,,,,,,,,,,,,,B219a,,,,,,,,,,,,,,,,,,,,,,B312,,,,,B306,1,1,0,,,1,1,,,,,,,,
,15-16,,,,,,,,,,,PC(l),,,,,,,,"Analiză Matematică I- AM1 (curs)
prof. M. Joița",,,,B219a,"Bazele electrotehnicii I - BE1 (curs)
prof. M. Vasilescu ",,,,,B306,"-- / AG(s)
B11","-- / Fiz(s)
B10",,,,"Fizica1 (curs)
prof. C. Roșu",,,,,,,,,,B312,,,"Sport(s)
",,,1,1,0,0,1,,,17,0,1,1,0,,,
,16-17,,,Fiz(l) / --,-- / Fiz(l) ,,,,,,,,,,,,,,,,,,,B219a,,,,,,B306,,,-- / Chim(l),Chim(l) / --,,,,,,,,,,,,B312,,,,,,1,1,0,,,1,1,,,,,,,,
,17-18,,,,,,,,,,,,,,,,,,,,,,,,"Fizica1 (curs)
prof. S. Ciobanu",,,,,B306,,"-- / AG(s)
B10",,,,"Analiză Matematică I- AM1 (curs)
prof. M. Joița",,,,,,,,,,B312,,,,,,1,0,0,0,0,,,7,0,1,0,0,,,
,18-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B306,,,,,,,,,,,,,,,,B312,,,,,,1,0,0,,,0,0,,,,,,,,
,19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,,,
,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARTI,08-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09-Oct,,,,,," PC (curs)
prof. O. Grigore",,,,,,,,,,,,B212,,,,,,,,,Sport(s),,,"Fizica1 (curs) / Bazele electrotehnicii I - BE1 (curs)
Prof. G. Cata - Danil / prof. R. Costea",,,,B219a,"Chimie (curs) 
prof. C. Pîrvu",,,,,,,,,,B306,,,,,,1,1,1,0,0,,,10,0,0,0,0,,,
,10-Nov,,,,,,,,,,,,,,,,,,B212,,,,,,,,,,,,,,,,B219a,,,,,,,,,,,B306,,,,,,1,1,1,,,0,0,,,,,,,,
,11-Dec,"LS1(s)
B10",,,PC(l) sala 2 calc,,"Chimie (curs)
prof. I. Rau",,,,,,,,,,,,B212,Sport(s),,,,,"-- / AM1(s)
B09",,,PC(l),"BE1(s)
B11",,"Chimie (curs) 
prof. C. Pîrvu ",,,,B219a,"Bazele Electrotehnicii 1  - BE1 (curs) 
Prof. I. Nemoianu",,,,,,,,,,B306,"Sport(s)
",,,,,1,1,1,0,2,,,16,1,1,1,0,,,
,Dec-13,,,,,,,,,,,,,,,,,,B212,,,,,,,,,,,,,,,,B219a,,,,,,,,,,,B306,,,,,,1,1,1,,,0,0,,,,,,,,
,13-14,"BE1(s)
B10","Fiz(s) / AG(s)
B09",PC(l) sala 2 calc,"LS1(s)
B 124",,"Algebră și Geometrie - AG (curs) / Fizica1 (curs) 
Prof. A. Negrescu / prof. M Stafe",,,,,,,,,,,,B212,PC(l),,,Sport(s),,PC(l),Sport(s),,"BE1(s)
B12","Fiz(s) / AM1(s)
B11",,"Algebră și Geometrie - AG (curs)
prof. V. Slesar",,,,B219a,"Analiză Matematică I- AM1 (curs) / Fizica1 (curs)
prof. M. Joița / prof. C. Roșu",,,,,,,,,,B306,"-- / AG(s) 
B04",,"AG(s) / --
B04",,,1,1,1,0,3,,,21,1,1,1,1,,,
,14-15,,,,,,,,,,,,,,,,,,B212,,,,,,,,,,,,,,,,B219a,,,,,,,,,,,B306,,,,,,1,1,1,,,0,0,,,,,,,,
,15-16,"AG(s) / Fiz(s)
B10","BE1(s)
B09","BE1(s)
B11","Fiz(s) / AG(s)
B12",,,,,,,,,,,,,,,"Analiză Matematică I- AM1 (curs) / Fizica1 (curs)
prof. M. Joița / prof. G. Stanciu",,,,B306,Sport(s),"AM1(s) / Fiz(s)
B13",,"Fiz(s) / AM1(s)
B04",PC(l),,,,,,,,,"Sport(s)
",,,,,PC(l),,,,"Algebră și Geometrie - AG (curs) / Bazele electrotehnicii I - BE1 (curs)
Prof. I. Meghea / prof. O. Drosu  ",,,,B212,1,0,1,0,2,,,16,1,1,1,1,,,
,16-17,,,,,,,,,,,,,,,,,,,,,,,B306,,,,,,,,,,,,,,,,,,,,,,,,,,,B212,1,0,1,,,0,0,,,,,,,,
,17-18,,,"AG(s) / Fiz(s)
B11","BE1(s)
B12",,,,,,,,,,,,,,,"Bazele electrotehnicii I - BE1 (curs)
prof. V. Ioniță",,,,B306,"-- / Fiz(s)
B09",PC(l),"Fiz(s) / AM1(s)
B10",,,,,,,,,,,,,,,,,,,,"Fizica1 (curs) / Analiză Matematică I- AM1 (curs) 
prof. G. Suliman / Prof. A. Toma",,,,B212,1,0,1,0,1,,,11,1,1,1,1,,,
,18-19,,,,,,,,,,,,,,,,,,,,,,,B306,,,,,,,,,,,,,,,,,,,,,,,,,,,B212,1,0,1,,,0,0,,,,,,,,
,19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,,,
,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIERCURI,08-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-- / Chim(l),,Chim(l) / --,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,
,09-Oct,,,"LS1(s)
B11",,,,,,,,,,,,,,,,"BE1(s)
B09","BE1(s)
B12",PC(l),"LS1(s)
B10",,"AM1 (curs)
Prof. R. Purnichescu",,,,,B219a," Fizica1 (curs)
Prof. G. Cata - Danil",,,,B212,Fiz(l) / Chim(l),,Chim(l) / Fiz(l),,,,,,PC(l),,,"Chimie (curs)
prof. I. Rau",,,,B306,1,1,1,0,2,,,21,1,1,1,1,,,
,10-Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B219a,,,,,B212,Fiz(l) / --,,-- / Fiz(l),,-- / Chim(l),,Chim(l) / --,,,,,,,,,B306,1,1,1,,,2,2,,,,,,,,
,11-Dec,,Sport(s),,,,,,,,,,,,,,,,,"LS1(s)
B10",PC(l),"BE1(s)
B218","BE1(s)
B12",,"Programarea Calculatoarelor - PC (curs)
prof. S. Zoican",,,,,B219a,"Programarea Calculatoarelor - PC (curs)
Prof. V. Grosu",,,,B212,"BE1(s)
B11",,,PC(l),Fiz(l) / Chim(l),,Chim(l) / Fiz(l),,"Fiz(s) / --
B09",,,"Programarea Calculatoarelor - PC (curs)
prof. I. Năstac",,,,B306,1,1,1,0,2,,,23,1,1,1,1,,,
,Dec-13,,,-- / Chim(l),Chim(l) / --,,,,,,,,,,,,,,,,,,,,,,,,,B219a,,,,,B212,,,,,Fiz(l) / --,,-- / Fiz(l),,,,,,,,,B306,1,1,1,,,2,1,,,,,,,,
,13-14,Sport(s),"LS1(s)
B10",,,,,PC(l) sala 2  de calc,,,,,,,,,,,,Fiz(l) / --,-- / Fiz(l),Sport(s),PC(l),,"Algebră și Geometrie - AG (curs) / Fizica1 (curs)
prof. R. Radulescu / prof. S. Ciobanu",,,,,B219a,"Analiză Matematică I- AM1 (curs) 
prof. C. Bercia ",,,,B212,"Fiz(s) / --
B11",,"BE1(s)
B12",,,PC(l),"LS1(s)
B13",,"AG(s) / AM1(s)
B09",,," Bazele electrotehnicii I - BE1 (curs)
 prof. O. Drosu  ",,,,B306,1,1,1,0,3,,,23,1,1,1,1,,,
,14-15,,,,,,,,,,,,,,,,,,,Fiz(l) / Chim(l),Chim(l) / Fiz(l),,,,,,,,,B219a,,,,,B212,,,,,,,,,,,,,,,,B306,1,1,1,,,2,2,,,,,,,,
,15-16,"AM1(s) / --
B 212",PC(l),"-- / AM1(s)
B 212",Sport(s),,"BE1 (curs)
prof. V. Paltanea ",,,,,,,,,,,,B306,-- / Chim(l),Chim(l) / --,Fiz(l) / --,-- / Fiz(l),,,"LS1(s)
B10",,,"LS1(s)
B 223a",,Sport(s),,,,,,PC(l),"Fiz(s) / --
B12",,"BE1(s)
B11",,"-- / Fiz(s) 
B12",,"LS1(s)
B09",,,,,,,,1,0,0,0,1,,,21,1,1,1,2,,,
,16-17,,,,,,,,,,,,,,,,,,B306,,,Fiz(l) / Chim(l),Chim(l) / Fiz(l),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,1,2,,,,,,,,
,17-18,PC(l),"AM1(s) / --
B09",,"-- / AM1(s)
B09",,"Analiză Matematică I- AM1 (curs) 
prof. I. Meghea",,,,,,,,,,,,B306,,,-- / Chim(l),Chim(l) / --,,,,,,,,,,,,,,,,,"Fiz(s) / -- 
B12",,,,,,,,,,,,1,0,0,0,1,,,9,2,0,0,1,,,
,18-19,,,,,,,,,,,,,,,,,,B306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,0,,,,,,,,
,19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,,,
,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOI,08-Sep,,,,,,,,,,-- / Chim(l),,Chim(l) / --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
,09-Oct,"AG (curs)
prof. A. Niță",,,,B312,"BE1(s)
B11",,PC(l),PC(l) Sala 2 de calc,,,,,,,,,,"Chimie (curs)
prof. I. Rau",,,,B212,"Chimie (curs) 
Prof. D. Ionita",,,,,B306,Fiz(l) / --,-- / Fiz(l),"AG(s) / AM1(s) 
B12","BE1(s)
B10",,,,,,,,,,,PC(l),,PC(l),,"BE1(s)
B09",,,1,0,1,0,4,,,21,1,1,1,1,,,
,10-Nov,,,,,B312,,,,,,,,,,,,,,,,,,B212,,,,,,B306,Fiz(l) / Chim(l),Chim(l) / Fiz(l),,,,,,,,,,,,,,,,,,,,1,0,1,,,1.5,2,,,,,,,,
,11-Dec,"Chimie (curs)
prof. D. Ionita",,,,B219a,"-- / Fiz(s)
B11",,"BE1(s)
B12",,"Sport(s)
",,"Fiz(s) / --
B11",,,,,,,"Programarea Calculatoarelor - PC (curs)
prof. C. Bira",,,,B212,"Algebră și Geometrie - AG (curs)
prof. R. Radulescu",,,,,B306,-- / Chim(l),Chim(l) / --,"BE1(s)
B04","AG(s) / AM1(s) 
B10",,PC(l),,,,,,"Sport(s)
",,-- / Fiz(l),,,"BE1(s)
B09",,PC(l),,,1,1,1,0,2,,,23,1,1,2,1,,,
,Dec-13,,,,,B219a,,,,,,,,,,,,,,,,,,B212,,,,,,B306,,,,,,,,,,,,,,Chim(l) / Fiz(l),,,,,,,,1,1,1,,,1.5,1,,,,,,,,
,13-14,"AM1 (curs) / Fizica1 (curs)
Prof. R. Purnichescu / prof. A. Lupașcu",,,,B219a,"Sport(s)
",," Fiz(s) / --
B12",,-- / Fiz(s) B12,,"LS1(s)
B11",,,,,,," Algebră și Geometrie - AG (curs)
prof. O.Șandru ",,,,B212,"Bazele electrotehnicii I - BE1 (curs) / AM1 (curs) 
prof. M. Vasilescu / Prof. R. Purnichescu",,,,,B306,PC(l),"LS1(s)
B09",Fiz(l) / --,-- / Fiz(l),,"Sport(s)
",,PC(l),,"LS1(s)
B10",,"BE1(s)
B 206b",,Chim(l) / --,,,,,,,,1,1,1,0,2,,,24,1,1,1,2,,,
,14-15,,,,,B219a,,,,,,,,,,,,,,,,,,B212,,,,,,B306,,,,,,,,,,,,,,,,,-- / Chim(l),,Chim(l) /--,,,1,1,1,,,1,1,,,,,,,,
,15-16,,,,,,Fiz(l) / --,,-- / Fiz(l),,PC(l) sala 1 de calc,,"Sport(s)
",,,,,,,,,,,,,,,,,,,,,,,"LS1(s)
B12",,"AG(s) / AM1(s)
B11",,"Sport(s)
",,"AM1(s) / AG(s)
B10",,"BE1(s)
B09",,,,,,,,0,0,0,0,1,,,11,1,1,1,1,,,
,16-17,,,,,,Fiz(l) / Chim(l),,Chim(l) / Fiz(l),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,2,2,,,,,,,,
,17-18,,,,,,-- / Chim(l),,Chim(l) / --,,Fiz(l) / --,,-- / Fiz(l),,,,,,,,,,,,,,,,,,,,,,,"AG(s) / AM1(s)
B12",,"LS1(s)
B11",," AM1(s) / AG(s)
B09",,,,,,,,,,,,0,0,0,0,0,,,7,1,0,1,1,,,
,18-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,,,,,,,,
,19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,,,
,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINERI,08-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
