,,Anul II Seria A,,,,,,,,,Anul II Seria B,,,,,,,,,Anul II Seria C,,,,,,,,,Anul II Seria D,,,,,,,,,Anul II Seria E,,,,,,,,,Anul II Seria F,,,,,,,,,Anul II Seria G,,,,,,,,,,,,curs,curs,curs,sem,,,,,,,,,,,
,,421Aa,421Ab,422Aa,422Ab,423Aa,423Ab,424Aa,424Ab,Sala,421Ba,421Bb,422Ba,422Bb,423Ba,423Bb,424Ba,424Bb,sala,421Ca,421Cb,422Ca,422Cb,423Ca,423Cb,424Ca,424Cb,sala,421Da,421Db,422Da,422Db,423Da,423Db,424Da,424Db,sala,421Ea,421Eb,422Ea,422Eb,423Ea,423Eb,424Ea,424Eb,sala,421Fa,421Fb,422Fa,422Fb,423Fa,423Fb,424Fa,424Fb,sala,421Ga,421Gb,422Ga,422Gb,423Ga,423Gb,424Ga,424Gb,,,,sala,B110,A05,B219b,,Sport,ME (l),DE (l),SS (l),CCP (l),A414,A415,Sala 2,,,
LUNI,09-10,"Componente si Circuite Pasive CCP (curs)
Prof. A. Vasile",,,,,,,,A05,"Programare orientată pe obiecte POO (curs)
Prof. O. Grigore",,,,,,,,B110,ME (l) / CCP (l),,CCP (l) / ME (l),,-- / DE (l),,DE (l) / --,,,,,,,,,,,,"Semnale si Sisteme SS (curs)
Prof. L. Stanciu",,,,,,,,B219b,,,,,,,,,,,,,,,,SS (s) B122,,,,,,1,1,1,1,0,1,2,0,1,0,0,0,,,
,10-11,,,,,,,,,A05,,,,,,,,,B110,,,,,,,,,,,,,,,,,,,,,,,,,,,B219b,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,0,,,
,11-12,"Semnale si Sisteme SS (curs)
Prof. L. Stanciu",,,,,,,,A05,"Dispozitive Electronice DE (curs)
Prof. L. Dobrescu",,,,,,,,B110,,,,,SS (l) / DE (l),,DE (l) / SS (l),,,,,,,DE (s) B04,,,,,"Programare orientată pe obiecte POO (curs)
Prof. V. Grosu",,,,,,,,B219b,,,,,,,DE (s) B122,,,SP (p) / --,,-- /SP (p) ,,,,,,,,,,1,1,1,2,0,,,1,,0,0,0,,,
,12-13,,,,,,,,,A05,,,,,,,,,B110,,,,,SS (l) / --,,DE (l) / --,,,,,,,,,,,,,,,,,,,,B219b,,,,,,,,,,,,,,ME (l) / CCP (l),,CCP (l) / ME (l),,,,,,1,1,1,,,1,0.5,,1,,,0,,,
,13-14,"O2 ISIA (c) A05 / ME (curs) 
/ Prof. M. Vladescu",,,,,,,,A05,O2 TCAD (c) B212 | ISIA (c) A05 / MN (c) B212,,,,,,,,,O2 TCAD (c) B212 | ISIA (c) A05 / MN (c) B212,,,,,,,,,ISIA (c) A05 / DE (s) B218,,ISIA (c) A05 / --,,,,,,,O2 TCAD (c) B212 | ISIA (c) A05 / MN (c) B212,,,,,,,,,"ISIA (c) A05 / Semnale si Sisteme SS (curs)
Prof. C. Florea / Prof. M. Raducanu",,,,,,,,,O2 ISIA (c) A05 / --,,,,,,,,,,,,0,1,0,1,0,,,0,,0,0,0,,,
,14-15,,,,,,,,,A05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B219b,,,,,,,,,,,,,0,1,1,,,,,,,,,0,,,
,15-16,,,,,,,,,,,,,,"SP (p) / --
sala 1",,"-- /SP (p) 
sala 1",,,"Semnale si Sisteme SS (curs)
Prof. S. Halunga",,,,,,,,A05,DE  (s) B122 / --,,SS (s) B04,,"POO (l) 
/ --","-- /
POO (l)",SS (s) B12,,,"-- / Materiale pentru Electronice ME (curs)
-- / Prof. A. Dragulinescu",,,,,,,,,"Materiale pentru Electronice ME (curs)  / Dispozitive Electronice DE (curs)
Prof. P. Schiopu / Prof. C. Ravariu",,,,,,,,B219b,ME (l) / CCP (l),,CCP (l) / ME (l),,,,SS (l)  / --,,,,,,0,1,1,3,0,1,0,0.5,1,0,0,0,,,
,16-17,,,,,,,,,,,,,,,,,,,,,,,,,,,A05,,,,,,,,,,,,,,,,,,B212,,,,,,,,,B219b,,,,,"POO (l) 
/ --",-- /POO (l),,,,,,,0,1,1,,,,,,,,,0,,,
,17-18,,,,,,,,,,,,,,,,,,,,,,,-- / SP (p),,SP (p) / --,,,SS (s) B12,,"POO (l) 
/ --","-- /
POO (l)",,,,,,,,,,,,,,,"Componente si Circuite Pasive CCP (curs)
Prof. B. Mihailescu",,,,,,,,B219b,,,,,,,,,,,,,0,0,1,1,0,,,0,,0,0,0,,,
