 ,,Anul III Seria A  - CTI,,,,,,,,,,Anul III Seria B  - ELA,,,,,,,,,,,Anul III Seria C  - TST,,,,,,,,,,Anul III Seria D  - RST,,,,,,,,,,Anul III Seria E  - MON,,,,,,,,,,,,Anul III Seria F  - ELA En,,,Anul III Seria G - TST En,,,,,curs,curs,curs,sem,sem,,,,,,,
,,431Aa,431Ab,432Aa,432Ab,433Aa,433Ab,434Aa,434Ab,sala,,431Ba,431Bb,432Ba,432Bb,433Ba,433Bb,434Ba,434Bb,435Ba,sala,,431Ca,431Cb,432Ca,432Cb,433Ca,433Cb,434Ca,434Cb,sala,,431Da,431Db,432Da,432Db,433Da,433Db,434Da,434Db,sala,,431Ea,431Eb,432Ea,432Eb,433Ea,433Eb,434Ea,434Eb,435Ea,435Eb,sala,,431Fa,431Fb,,431Ga,431Gb,432Ga,sala,,A101,A103,B223a,B124,B13,,,,,,,
LUNI,08-09,IEM (l) / --,,-- / IEM (l),,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,08-09,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,08-09,,,,,,,,,,,,
,09-10,"IEM (l) /
/ --",,"-- /
/ IEM (l)",," -- / 
/ CIA (s) B13 ",,"  CIA (s) B13  / 
/ --",,,09-10,"Teoria transmisiunii informatiei (curs)
Prof. M. Frunzete",,,,,,,,,A103,09-10," Circuite integrate analogice (curs)
Prof. F. Mitu",,,,,,,,B223a,09-10,"CIA (l) /
/ --","-- /
/ CIA (l)","-- /
/ TTI (l)","TTI (l) /
/ --",,,"uU (l) /
/ --",,,09-10,,,,,,,,,,,,09-10,"uC (l) /
/ --","-- /
/ uC (l)",,,,"-- /
/ uU (l)",,09-10,0,1,1,0,2,,,,,,,
,10-11,,,,,,,,,,10-11,,,,,,,,,,,10-11,,,,,,,,,,10-11,,,,,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,10-11,,,,,,,,,,,,
,11-12,"Controlul automat în electr. şi telecom. (curs) B223a Prof. D. Stoichescu || 
Bazele științei informației (curs) B312 prof. N. Dragulanescu || 
Inginerie audio (curs) A103 prof. Cristian Negrescu ||
Compatibilitate electromagnetică (curs) A102 prof. V. Voiculescu ||
Programare aplicativa a interfetelor (curs) A101 prof. V. Pupezescu",,,,,,,,,11-12,"Controlul automat în electr. şi telecom. (curs) B223a Prof. D. Stoichescu || 
Bazele științei informației (curs) B312 prof. N. Dragulanescu || 
Inginerie audio (curs) A103 prof. Cristian Negrescu ||
Compatibilitate electromagnetică (curs) A102 prof. V. Voiculescu ||
Programare aplicativa a interfetelor (curs) A101 prof. V. Pupezescu",,,,,,,,,,11-12,"Controlul automat în electr. şi telecom. (curs) B223a Prof. D. Stoichescu || 
Bazele științei informației (curs) B312 prof. N. Dragulanescu || 
Inginerie audio (curs) A103 prof. Cristian Negrescu ||
Compatibilitate electromagnetică (curs) A102 prof. V. Voiculescu ||
Programare aplicativa a interfetelor (curs) A101 prof. V. Pupezescu",,,,,,,,,11-12,"Controlul automat în electr. şi telecom. (curs) B223a Prof. D. Stoichescu || 
Bazele științei informației (curs) B312 prof. N. Dragulanescu || 
Inginerie audio (curs) A103 prof. Cristian Negrescu ||
Compatibilitate electromagnetică (curs) A102 prof. V. Voiculescu ||
Programare aplicativa a interfetelor (curs) A101 prof. V. Pupezescu",,,,,,,,,11-12,"Controlul automat în electr. şi telecom. (curs) B223a Prof. D. Stoichescu || 
Bazele științei informației (curs) B312 prof. N. Dragulanescu || 
Inginerie audio (curs) A103 prof. Cristian Negrescu ||
Compatibilitate electromagnetică (curs) A102 prof. V. Voiculescu ||
Programare aplicativa a interfetelor (curs) A101 prof. V. Pupezescu",,,,,,,,,,,11-12,"Controlul automat în electr. şi telecom. (curs) B223a Prof. D. Stoichescu || 
Bazele științei informației (curs) B312 prof. N. Dragulanescu || 
Inginerie audio (curs) A103 prof. Cristian Negrescu ||
Compatibilitate electromagnetică (curs) A102 prof. V. Voiculescu ||
Programare aplicativa a interfetelor (curs) A101 prof. V. Pupezescu",,,,,,,11-12,6,6,6,0,0,,,,,,,
,12-13,,,,,,,,,,12-13,,,,,,,,,,,12-13,,,,,,,,,,12-13,,,,,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,12-13,,,,,,,,,,,,
,13-14,"Teoria transmisiunii informatiei (curs)
Prof. A. Radoi",,,,,,,,B223a,13-14,"CIA (s) B13 / 
/ --",,"-- /
 / Proiect1 B124",,"-- /
/ CIA (s) B13",,"Proiect1 B124 /
 / --",,"-- /
/ uU (l)",,13-14,"Microunde (curs)
Prof. N. Militaru",,,,,,,,A103,13-14,"-- /
/ TTI (l)","TTI (l) /
/ --","CIA (l) /
/ --","-- /
/ CIA (l)","uU (s) A 806 / 
/ --",,"-- / 
/ uU (s) A 806",,,13-14,"Teoria transmisiunii informatiei (curs)
Prof. D. Coltuc",,,,,,,,,,B110,13-14,,,,"uC (l) /
/ --","-- /
/ uC (l)",,,13-14,0,1,1,2,2,,,,,,,
,14-15,,,,,,,,,,14-15,,,,,,,,,,,14-15,,,,,,,,,,14-15,,,,,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,14-15,,,,,,,,,,,,
,15-16,,,,,"IEM (l) / 
/ --",,"--  /
/ IEM (l)",,,15-16,"Proiect1 B124 /
 / --",,"-- /
/ CIA (s) B206b",,"-- /
 / Proiect1 B124",,"CIA (s) B206b / 
/ --",,"CIA (s) B206b / 
/ Pr B124",,15-16,,,,,,,,,,15-16,,,,,"-- /
/ TTI (l)","TTI (l) /
/ --","CIA (l) /
/ --","-- /
/ CIA (l)",,15-16,"Instrumentatie electronica de masura (curs)
Prof. O. Datcu",,,,,,,,,,B110,15-16,,,,"-- /
/ uU (l)","uU (l) /
/ --","-- /
/ uC (l)",,15-16,0,0,0,3,0,,,,,,,
,16-17,,,,,,,,,,16-17,,,,,,,,,,,16-17,,,,,,,,,,16-17,,,,,,,,,,16-17,,,,,,,,,,,,16-17,,,,,,,,16-17,,,,,,,,,,,,
,17-18,,,,,,,,,,17-18,,,,,,,,,,,17-18,,,,,,,,,,17-18,,,,,,,"TTI (l) /
/ --","-- /
/ TTI (l)",,17-18,,,"uU (l) /
/ --","-- /
/ uU (l)","CIA (l) /
/ --","-- /
/ CIA (l)",,,,,,17-18,,,,,,,,17-18,0,0,0,0,0,,,,,,,
,18-19,,,,,,,,,,18-19,,,,,,,,,,,18-19,,,,,,,,,,18-19,,,,,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,18-19,,,,,,,,,,,,
,19-20,,,,,,,,,,19-20,,,,,,,,,,,19-20,,,,,,,,,,19-20,,,,,,,,,,19-20,,,,,,,,,,,,19-20,,,,,,,,19-20,0,0,0,0,0,,,,,,,
,20-21,,,,,,,,,,20-21,,,,,,,,,,,20-21,,,,,,,,,,20-21,,,,,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,20-21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARTI,08-09,,,,,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,08-09,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,08-09,,,,,,,,,,,,
,09-10,,,"CIA (l) /
/ --","-- /
/ CIA (l)","uU (l) /
/ TTI (l)","TTI (l) /
/ uU (l)",,,,09-10,,,,,"-- /
/TTI (s) B124",,"TTI (s) B124 / 
/ --",,,,09-10,"Teoria transmisiunii informatiei (curs) 
Prof. L. Perisoara",,,,,,,,A101,09-10,"Teoria transmisiunii informatiei (curs) Prof. D. Faur / 
/ Instrumentatie electronica de masura (curs) Prof. A. Vulpe",,,,,,,,A103,09-10,,,,,,,,,,,,09-10,,,,,,,,09-10,1,1,0,2,0,,,,,,,
,10-11,,,,,,,,,,10-11,,,,,,,,,,,10-11,,,,,,,,,,10-11,,,,,,,,,,10-11,,,,,"IEM(l) /
/ --",,-- / IEM(l),,,,,10-11,,,,,,,,10-11,,,,,,,,,,,,
,11-12,"Circuite integrate analogice (curs) 
Prof. C. Dan",,,,,,,,A03,11-12,Microunde (curs) Prof. R. Cacoveanu,,,,,,,,,B223a,11-12,"Instrumentatie electronica de masura (curs) Prof. O. Fratu /
/ Circuite integrate analogice (curs) Prof. F. Mitu",,,,,,,,A101,11-12,"Microunde (curs)
Prof. T. Petrescu",,,,,,,,A103,11-12,"CIA (l) /
/ --","-- /
/ CIA (l)","-- /
/ TTI (l)","TTI (l) /
/ --",,,,,,,,11-12,"-- / 
/ uU (s) B124",,,"uU (s) B124 / 
/ --",,"-- / 
/ uU (s) B124 ",,11-12,1,1,1,3,0,,,,,,,
,12-13,,,,,,,,,,12-13,,,,,,,,,,,12-13,,,,,,,,,,12-13,,,,,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,12-13,,,,,,,,,,,,
