,,Anul III Seria A  - CTI,,,,,,,,,,,Anul III Seria B  - ELA,,,,,,,,,,,Anul III Seria C  - TST,,,,,,,,,,,,Anul III Seria D  - RST,,,,,,,,,,,Anul III Seria E  - MON,,,,,,,,,,,,Anul III Seria F  - ELA En,,,,Anul III Seria G - TST En,,,,,curs,curs,curs,sem,sem,,,,,,,
,,431Aa,431Ab,432Aa,432Ab,433Aa,433Ab,434Aa,434Ab,435Aa,sala,,431Ba,431Bb,432Ba,432Bb,433Ba,433Bb,434Ba,434Bb,435Ba,sala,,431Ca,431Cb,432Ca,432Cb,433Ca,433Cb,434Ca,434Cb,435Ca,435Cb,sala,,431Da,431Db,432Da,432Db,433Da,433Db,434Da,434Db,435Da,sala,,431Ea,431Eb,432Ea,432Eb,433Ea,433Eb,434Ea,434Eb,435Ea,435Eb,sala,,431Fa,431Fb,432Fa,,431Ga,431Gb,432Ga,sala,,A101,A103,B223a,B124,B13,,,,,,,
LUNI,08-09,,,,,,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,,08-09,,,,,,,,,,,,
,09-10,"-- /
/ TPI(l)",,"TPI(l) / 
/ --",,,,,,,,09-10,"Baze de date (curs)  
S.L. Valentin Pupezescu",,,,,,,,,A103,09-10,,,,,,,,,,,,09-10,"PDS(l) /
/ --",,"-- /
/ PDS(l)",,,,"APC(l) /
 / --","-- /
 / APC(l)",,,09-10,,,,,,,,,"PDS(l) /
/ --","-- /
/ PDS(l)",,09-10,,,,,,,,,09-10,0,1,0,0,0,,,,,,,
,10-11,,,,,,,,,,,10-11,,,,,,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,,10-11,,,,,,,,,,,,
,11-12,"-- /
/ TPI(p) B322",,"TPI(p) B322 /
/ --",,,,,,,,11-12,"Sisteme de comunicatii (curs) 
Prof. D. Vizireanu / Prof. R. Craciunescu",,,,,,,,,A103,11-12,"Circuite de microunde (curs)
Prof. N. Militaru",,,,,,,,,,A101,11-12,"PDS(l) /
/ --",,"-- /
/ PDS(l)",,,,"APC(l) /
 / --","-- /
 / APC(l)",,,11-12,,,"-- / 
 / DEPI(s) B13",,"DEPI(s) B13 /
/ --",,"TV(l) /
/ --","-- /
/ TV(l)",,,,11-12,,,,,"-- /
/ MC(l)","MC(l) /
/ DSP(l)",,,11-12,1,1,0,0,2,,,,,,,
,12-13,,,,,,,,,,,12-13,,,,,,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,,12-13,,,,,,,,,,,,
,13-14,,,,,,,,,,,13-14,"Senzori si circuite de conditionare a semnalelor (curs) 
S.L. Vlad Georgescu",,,,,,,,,A103,13-14,"Arhitecturi de retea si Internet (curs)
Prof. D. Galatchi",,,,,,,,,,A101,13-14,"-- /
/ PDS(s) B206b",,"PDS(s) B206b /
/ --",,"PDS(l) /
/ --",,"-- /
/ PDS(l)",,,,13-14,"Decizie si estimare in prelucrarea informatiilor (curs)
Prof. C. Florea",,,,,,,,,,B223a,13-14,"Communications Systems (curs)
Prof. C. Florea",,,B124,"-- /
/ MC(s) A03",,"MC(l) /
/ MC(s) A03",,13-14,1,1,1,1,0,,,,,,,
,14-15,,,,,,,,,,,14-15,,,,,,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,,14-15,,,,,,,,,,,,
,15-16,,,,,,,,,,,15-16,,,,,,,,,"SCCS(l) /
/ --",,15-16,,,"CM(s) A806 /
/ ARI(l) SC2",,"ARI(l) SC2 /
/ CM(s) A806",,,,,,,15-16,"-- /
/ DEPI(s) B13",,"DEPI(s) B13/
/ --",,"PDS(l) /
/ PDS(s) B206b",,"PDS(s)  B206b/
/ PDS(l)",,,,15-16,"Televiziune (curs)
Prof. I. Tache",,,,,,,,,,B223a,15-16,"Digital Signal Processing (curs) Prof. C. Oprea / 
/ DSP(s)",,,,,,,B206a,15-16,0,0,1,0,2,,,,,,,
,16-17,,,,,,,,,,,16-17,,,,,,,,,,,16-17,,,,,,,,,,,,16-17,,,,,,,,,,,16-17,,,,,,,,,,,,16-17,,,,,,,,,16-17,,,,,,,,,,,,
,17-18,,,,,,,,,,,17-18,,,,,,,,,,,17-18,"ARI(l) SC2 / 
 / --",,,,,,"-- / 
 / ARI(l) SC2",,,,,17-18,,,,,"-- /
/ DEPI(s) B13",,"DEPI(s) B13/
/ --",,,,17-18,"Sisteme de comunicatii (curs)
Prof. I. Lucian",,,,,,,,,,B223a,17-18,"Programming Technologies for Internet (curs)
Prof. I. Dogaru",,,A103,,,,,17-18,0,1,1,0,2,,,,,,,
,18-19,,,,,,,,,,,18-19,,,,,,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,,18-19,,,,,,,,,,,,
,19-20,,,,,,,,,,,19-20,,,,,,,,,,,19-20,,,,,,,,,,,,19-20,,,,,,,,,,,19-20,"SCCS(l) /
/ --","-- /
/ SCCS(l)",,,,,,,,,,19-20,"SC(l) /
/ --","-- /
/ SC(l)",,,,,,,19-20,0,0,0,0,0,,,,,,,
,20-21,,,,,,,,,,,20-21,,,,,,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,,20-21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARTI,08-09,,,,,,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,,08-09,,,,,,,,,,,,
